arithmetic_mean_speedup,base_avg_ms,base_database,base_max_ms,base_median_ms,base_min_ms,base_p95_ms,base_success_rate,base_wins,faster,geomean_speedup,median_speedup,other_avg_ms,other_database,other_max_ms,other_median_ms,other_min_ms,other_p95_ms,other_success_rate,other_wins,query_count,query_id,record_type,speedup,ties,total_time_ratio
3.6493859090909093,,YMatrix,,,,,1.0,18,,2.4671752811995034,2.3186999999999998,,Greenplum,,,,,1.0,4,22,,overall,,0,2.30829829002166
1.031447090909091,,YMatrix,,,,,1.0,11,,0.7817878564609463,0.954253,,PostgreSQL,,,,,1.0,11,22,,overall,,0,0.6964953306583747
3.5127897727272726,,YMatrix,,,,,1.0,15,,2.0014029295631417,2.866303,,MySQL,,,,,1.0,7,22,,overall,,0,2.28498455388892
,141.16,YMatrix,158.03,147.92,120.84,156.39,1.0,,YMatrix,,,514.78,Greenplum,873.9,430.58,409.69,787.37,1.0,,,q1,query,2.910898,,
,285.15,YMatrix,322.06,274.28,248.98,319.81,1.0,,Greenplum,,,150.19,Greenplum,161.39,146.71,144.99,159.66,1.0,,,q10,query,0.534891,,
,87.19,YMatrix,152.86,68.85,65.21,138.36,1.0,,YMatrix,,,155.82,Greenplum,162.13,157.32,149.45,161.76,1.0,,,q11,query,2.284967,,
,63.54,YMatrix,81.72,53.7,50.74,81.11,1.0,,YMatrix,,,74.96,Greenplum,94.36,65.41,60.62,93.65,1.0,,,q12,query,1.218063,,
,48.99,YMatrix,58.17,48.55,36.1,57.71,1.0,,YMatrix,,,121.02,Greenplum,335.76,69.8,64.15,282.6,1.0,,,q13,query,1.437693,,
,26.55,YMatrix,42.5,23.99,18.27,38.83,1.0,,YMatrix,,,28.86,Greenplum,33.68,28.48,24.75,32.73,1.0,,,q14,query,1.187161,,
,46.21,YMatrix,52.09,47.82,33.64,51.79,1.0,,Greenplum,,,40.27,Greenplum,47.8,39.71,35.74,46.22,1.0,,,q15,query,0.830406,,
,25.71,YMatrix,29.27,25.48,21.99,28.74,1.0,,YMatrix,,,63.0,Greenplum,74.77,59.94,56.73,72.56,1.0,,,q16,query,2.352433,,
,126.22,YMatrix,158.29,121.84,110.58,151.85,1.0,,YMatrix,,,172.38,Greenplum,188.54,172.61,161.67,185.38,1.0,,,q17,query,1.416694,,
,411.5,YMatrix,463.44,417.6,367.66,457.32,1.0,,Greenplum,,,368.83,Greenplum,617.57,315.04,292.54,558.63,1.0,,,q18,query,0.754406,,
,7.26,YMatrix,9.09,6.91,6.48,8.73,1.0,,YMatrix,,,75.75,Greenplum,93.09,70.35,67.41,89.99,1.0,,,q19,query,10.180897,,
,70.39,YMatrix,87.16,69.49,61.47,84.12,1.0,,YMatrix,,,484.47,Greenplum,567.86,453.81,440.01,557.08,1.0,,,q2,query,6.53058,,
,262.01,YMatrix,292.54,261.03,245.86,286.55,1.0,,Greenplum,,,232.12,Greenplum,429.08,184.2,175.51,382.52,1.0,,,q20,query,0.705666,,
,69.67,YMatrix,72.51,70.39,63.75,72.35,1.0,,YMatrix,,,822.54,Greenplum,1028.69,774.71,740.09,983.34,1.0,,,q21,query,11.005967,,
,38.35,YMatrix,49.11,40.34,24.77,48.31,1.0,,YMatrix,,,49.55,Greenplum,54.48,47.99,46.69,53.89,1.0,,,q22,query,1.189638,,
,36.52,YMatrix,45.76,34.3,32.34,44.01,1.0,,YMatrix,,,222.81,Greenplum,330.18,218.99,166.12,309.81,1.0,,,q3,query,6.384548,,
,20.35,YMatrix,26.35,19.93,14.68,25.95,1.0,,YMatrix,,,98.05,Greenplum,122.62,93.36,87.21,117.83,1.0,,,q4,query,4.684395,,
,43.68,YMatrix,56.63,53.96,20.39,56.6,1.0,,YMatrix,,,287.47,Greenplum,322.79,298.15,247.37,318.36,1.0,,,q5,query,5.525389,,
,24.15,YMatrix,26.59,24.09,21.39,26.22,1.0,,YMatrix,,,35.1,Greenplum,39.6,34.05,33.06,38.81,1.0,,,q6,query,1.41345,,
,32.36,YMatrix,36.56,32.01,30.03,35.8,1.0,,YMatrix,,,253.76,Greenplum,268.33,251.15,242.27,266.37,1.0,,,q7,query,7.845986,,
,79.41,YMatrix,107.53,66.89,60.96,105.28,1.0,,YMatrix,,,383.05,Greenplum,500.81,339.56,316.82,484.98,1.0,,,q8,query,5.076394,,
,65.58,YMatrix,79.6,62.0,58.53,77.06,1.0,,YMatrix,,,327.74,Greenplum,477.42,298.59,262.28,445.92,1.0,,,q9,query,4.815968,,
,141.16,YMatrix,158.03,147.92,120.84,156.39,1.0,,YMatrix,,,224.39,PostgreSQL,229.87,223.76,219.54,229.09,1.0,,,q1,query,1.51271,,
,285.15,YMatrix,322.06,274.28,248.98,319.81,1.0,,PostgreSQL,,,56.74,PostgreSQL,65.27,57.51,47.06,64.19,1.0,,,q10,query,0.209676,,
,87.19,YMatrix,152.86,68.85,65.21,138.36,1.0,,PostgreSQL,,,26.07,PostgreSQL,29.73,25.67,22.86,29.34,1.0,,,q11,query,0.37284,,
,63.54,YMatrix,81.72,53.7,50.74,81.11,1.0,,YMatrix,,,64.37,PostgreSQL,88.84,59.18,56.24,83.29,1.0,,,q12,query,1.102048,,
,48.99,YMatrix,58.17,48.55,36.1,57.71,1.0,,YMatrix,,,79.83,PostgreSQL,83.83,78.89,77.66,83.04,1.0,,,q13,query,1.624923,,
,26.55,YMatrix,42.5,23.99,18.27,38.83,1.0,,PostgreSQL,,,19.79,PostgreSQL,27.1,19.59,14.53,25.64,1.0,,,q14,query,0.81659,,
,46.21,YMatrix,52.09,47.82,33.64,51.79,1.0,,PostgreSQL,,,22.75,PostgreSQL,27.38,22.18,18.83,26.75,1.0,,,q15,query,0.463823,,
,25.71,YMatrix,29.27,25.48,21.99,28.74,1.0,,YMatrix,,,43.4,PostgreSQL,45.54,42.87,41.72,45.3,1.0,,,q16,query,1.682496,,
,126.22,YMatrix,158.29,121.84,110.58,151.85,1.0,,PostgreSQL,,,72.35,PostgreSQL,75.97,71.85,69.66,75.53,1.0,,,q17,query,0.589708,,
,411.5,YMatrix,463.44,417.6,367.66,457.32,1.0,,PostgreSQL,,,205.54,PostgreSQL,212.18,205.5,201.43,211.08,1.0,,,q18,query,0.492098,,
,7.26,YMatrix,9.09,6.91,6.48,8.73,1.0,,YMatrix,,,8.04,PostgreSQL,9.63,7.81,7.23,9.35,1.0,,,q19,query,1.130246,,
,70.39,YMatrix,87.16,69.49,61.47,84.12,1.0,,PostgreSQL,,,28.29,PostgreSQL,32.18,28.89,25.16,31.54,1.0,,,q2,query,0.415743,,
,262.01,YMatrix,292.54,261.03,245.86,286.55,1.0,,PostgreSQL,,,14.34,PostgreSQL,20.69,13.38,11.55,19.45,1.0,,,q20,query,0.051258,,
,69.67,YMatrix,72.51,70.39,63.75,72.35,1.0,,YMatrix,,,76.99,PostgreSQL,82.6,76.86,73.69,81.47,1.0,,,q21,query,1.091916,,
,38.35,YMatrix,49.11,40.34,24.77,48.31,1.0,,PostgreSQL,,,16.24,PostgreSQL,17.96,15.41,15.09,17.85,1.0,,,q22,query,0.382003,,
,36.52,YMatrix,45.76,34.3,32.34,44.01,1.0,,YMatrix,,,66.28,PostgreSQL,84.71,61.07,58.73,81.26,1.0,,,q3,query,1.780466,,
,20.35,YMatrix,26.35,19.93,14.68,25.95,1.0,,YMatrix,,,35.23,PostgreSQL,38.16,34.93,33.85,37.53,1.0,,,q4,query,1.752634,,
,43.68,YMatrix,56.63,53.96,20.39,56.6,1.0,,PostgreSQL,,,37.16,PostgreSQL,37.36,37.22,36.87,37.35,1.0,,,q5,query,0.68977,,
,24.15,YMatrix,26.59,24.09,21.39,26.22,1.0,,YMatrix,,,42.65,PostgreSQL,47.79,42.12,39.51,46.89,1.0,,,q6,query,1.748443,,
,32.36,YMatrix,36.56,32.01,30.03,35.8,1.0,,YMatrix,,,55.39,PostgreSQL,58.82,55.34,53.03,58.33,1.0,,,q7,query,1.728835,,
,79.41,YMatrix,107.53,66.89,60.96,105.28,1.0,,PostgreSQL,,,52.45,PostgreSQL,60.81,50.56,48.88,59.16,1.0,,,q8,query,0.755868,,
,65.58,YMatrix,79.6,62.0,58.53,77.06,1.0,,YMatrix,,,154.38,PostgreSQL,190.5,142.46,132.01,186.93,1.0,,,q9,query,2.297742,,
,141.16,YMatrix,158.03,147.92,120.84,156.39,1.0,,YMatrix,,,857.61,MySQL,883.28,851.59,846.46,878.18,1.0,,,q1,query,5.757098,,
,285.15,YMatrix,322.06,274.28,248.98,319.81,1.0,,MySQL,,,87.67,MySQL,123.12,85.8,69.01,116.42,1.0,,,q10,query,0.312819,,
,87.19,YMatrix,152.86,68.85,65.21,138.36,1.0,,YMatrix,,,228.81,MySQL,259.41,224.49,208.47,253.28,1.0,,,q11,query,3.260566,,
,63.54,YMatrix,81.72,53.7,50.74,81.11,1.0,,YMatrix,,,292.77,MySQL,322.43,281.61,273.41,319.15,1.0,,,q12,query,5.244134,,
,48.99,YMatrix,58.17,48.55,36.1,57.71,1.0,,YMatrix,,,340.6,MySQL,503.98,299.83,265.52,471.81,1.0,,,q13,query,6.175695,,
,26.55,YMatrix,42.5,23.99,18.27,38.83,1.0,,YMatrix,,,82.93,MySQL,106.36,86.13,46.93,104.3,1.0,,,q14,query,3.590246,,
,46.21,YMatrix,52.09,47.82,33.64,51.79,1.0,,YMatrix,,,170.39,MySQL,230.11,168.38,131.47,219.57,1.0,,,q15,query,3.521121,,
,25.71,YMatrix,29.27,25.48,21.99,28.74,1.0,,YMatrix,,,43.04,MySQL,67.08,36.56,34.45,62.14,1.0,,,q16,query,1.434851,,
,126.22,YMatrix,158.29,121.84,110.58,151.85,1.0,,MySQL,,,59.62,MySQL,79.16,63.75,35.85,77.24,1.0,,,q17,query,0.523227,,
,411.5,YMatrix,463.44,417.6,367.66,457.32,1.0,,MySQL,,,258.66,MySQL,312.11,257.51,229.67,302.25,1.0,,,q18,query,0.616643,,
