database,query_id,round_num,start_time,end_time,elapsed_ms,row_count,result_hash,success,error_message
YMatrix,q3,1,2026-08-04T04:05:21.450+00:00,2026-08-04T04:05:21.484+00:00,33.19,10,488b5292812c953c6be9763511c856b3e10b11829deb30c1bb1f505ba568402b,True,
YMatrix,q11,1,2026-08-04T04:05:21.484+00:00,2026-08-04T04:05:21.650+00:00,152.86,2541,3db7d53827190857328a4fdc4d52c9fa4bf0a5716ac267623c1e7ef6459a4373,True,
YMatrix,q14,1,2026-08-04T04:05:21.650+00:00,2026-08-04T04:05:21.714+00:00,42.5,1,cc146f704c1fe2fd031ef46c782a668650161668ef04b4cb6850fe029f576d66,True,
YMatrix,q20,1,2026-08-04T04:05:21.714+00:00,2026-08-04T04:05:22.009+00:00,292.54,9,103b073204ade8735df56b98bd5f8d4bcc5117a308cea568948ab9c1ae73f66b,True,
YMatrix,q18,1,2026-08-04T04:05:22.009+00:00,2026-08-04T04:05:22.394+00:00,367.66,5,a453ae8127ad1700722b5a8ff363bc7b3632bb2fa0490cdc74eddcdf156ec65a,True,
YMatrix,q22,1,2026-08-04T04:05:22.394+00:00,2026-08-04T04:05:22.472+00:00,49.11,7,fdfb6921ca2a1f59f2b8b250a64d637c968d0f223b7ec6c5e4560f860a53180c,True,
YMatrix,q17,1,2026-08-04T04:05:22.472+00:00,2026-08-04T04:05:22.588+00:00,114.27,1,9a3d1f3f694155da1dc0635e8777f636e07f15f895916bc0328a0fdce877187f,True,
YMatrix,q13,1,2026-08-04T04:05:22.588+00:00,2026-08-04T04:05:22.627+00:00,36.1,37,42bb5b9d31ec606514a576fd0407ed6d51e63e11a1e1ea05c6039d89c29e8ee2,True,
YMatrix,q6,1,2026-08-04T04:05:22.627+00:00,2026-08-04T04:05:22.655+00:00,26.59,1,2cdce46c156af217b6a76401d58b94624f8493520129e4b1e90830abc0643712,True,
YMatrix,q7,1,2026-08-04T04:05:22.655+00:00,2026-08-04T04:05:22.689+00:00,32.01,4,6716e14755d4f5d95a6646ea58876b2b4239017cb84cf14b281ca4bdea3a394b,True,
YMatrix,q9,1,2026-08-04T04:05:22.689+00:00,2026-08-04T04:05:22.754+00:00,58.53,175,ebb16612aaba53a9a6d425d973c561e5dd7a1b70c4f32ba19680835f9bb7f5f2,True,
YMatrix,q1,1,2026-08-04T04:05:22.754+00:00,2026-08-04T04:05:22.915+00:00,158.03,4,4a63e850889beb8075f235a4ed15f79e0d08baf28d73d388c6b16b0106ddefe7,True,
YMatrix,q16,1,2026-08-04T04:05:22.915+00:00,2026-08-04T04:05:22.951+00:00,25.48,2762,9681ce56918cd7141173026d87c26c9fd87afc62c46b45a2dbc5be1ef159a9b1,True,
YMatrix,q8,1,2026-08-04T04:05:22.951+00:00,2026-08-04T04:05:23.049+00:00,96.3,2,c60f2018a2cde9154f10ae17f3359590459867a81d2726859d9d85bad7e23aff,True,
YMatrix,q21,1,2026-08-04T04:05:23.049+00:00,2026-08-04T04:05:23.132+00:00,71.73,47,86efdec346cfebe32bacff5819615897f64fddcba4af9d82f5de544798cd2962,True,
YMatrix,q19,1,2026-08-04T04:05:23.132+00:00,2026-08-04T04:05:23.142+00:00,6.91,1,3e9305f88a3aef222e9d019af6a2e6f40303e9c9bf11a50d1562324a2d9f9e87,True,
YMatrix,q4,1,2026-08-04T04:05:23.142+00:00,2026-08-04T04:05:23.166+00:00,19.93,5,607206b8c5dc00a59ce05f563a151cd1cf956663ca50fa4d396ccb61b6a3503c,True,
YMatrix,q12,1,2026-08-04T04:05:23.166+00:00,2026-08-04T04:05:23.229+00:00,53.7,2,eff0114ecfe105cd72843038cb84bcc3fac7bf1f70ec22e5b279e9bc5f49021c,True,
YMatrix,q15,1,2026-08-04T04:05:23.229+00:00,2026-08-04T04:05:23.283+00:00,50.57,1,2696a2b1087e0db9ee3147b7dd4aa013894d005203cbc28cee3b704d7daded4a,True,
YMatrix,q5,1,2026-08-04T04:05:23.283+00:00,2026-08-04T04:05:23.338+00:00,53.96,5,92e68b5940711975eadfef9cebcb6626c1b529a23731481d64f34508cc256489,True,
YMatrix,q10,1,2026-08-04T04:05:23.338+00:00,2026-08-04T04:05:23.591+00:00,248.98,20,77da45dd0218922612cd92c6f16e238b4184b43e42c5a0d1a3c37503d4954092,True,
YMatrix,q2,1,2026-08-04T04:05:23.592+00:00,2026-08-04T04:05:23.684+00:00,69.49,44,d7c945bcad8db1ca27d3ba6d14645d189d8cbf2e2ceac247d95e4cdc8f5ed661,True,
YMatrix,q11,2,2026-08-04T04:05:23.684+00:00,2026-08-04T04:05:23.787+00:00,80.37,2541,3db7d53827190857328a4fdc4d52c9fa4bf0a5716ac267623c1e7ef6459a4373,True,
YMatrix,q9,2,2026-08-04T04:05:23.787+00:00,2026-08-04T04:05:23.871+00:00,79.6,175,ebb16612aaba53a9a6d425d973c561e5dd7a1b70c4f32ba19680835f9bb7f5f2,True,
YMatrix,q20,2,2026-08-04T04:05:23.871+00:00,2026-08-04T04:05:24.121+00:00,248.05,9,103b073204ade8735df56b98bd5f8d4bcc5117a308cea568948ab9c1ae73f66b,True,
